uuid,days,open_at,close_at
0e18d0d3-ed38-4e7f-a18e-507a78ad901d,192,07:00:00,20:00:00
0e18d0d3-ed38-4e7f-a18e-507a78ad901d,63,06:00:00,22:00:00
ad812258-94e7-473d-aa80-d392f7532218,64,08:00:00,22:00:00
ad812258-94e7-473d-aa80-d392f7532218,32,07:00:00,22:00:00
ad812258-94e7-473d-aa80-d392f7532218,31,06:00:00,22:00:00
fc15ef36-f762-4b1e-a586-35a74258e9f9,192,08:00:00,20:00:00
fc15ef36-f762-4b1e-a586-35a74258e9f9,32,07:00:00,20:00:00
fc15ef36-f762-4b1e-a586-35a74258e9f9,31,05:00:00,21:00:00
51d4b598-a095-1aa0-e100-80009459e03a,192,06:00:00,23:59:59
51d4b598-a095-1aa0-e100-80009459e03a,63,05:00:00,23:59:59
ebcc40de-4094-4b4d-88a7-f250e2982be4,96,08:00:00,22:00:00
ebcc40de-4094-4b4d-88a7-f250e2982be4,31,06:00:00,22:00:00
ace8ce31-c611-4694-a0cf-5b92683b1a6c,224,07:00:00,22:00:00
ace8ce31-c611-4694-a0cf-5b92683b1a6c,31,06:00:00,22:00:00
43e1b89e-a5b6-4263-ba0d-dc64164639f9,32,08:00:00,18:00:00
43e1b89e-a5b6-4263-ba0d-dc64164639f9,31,04:00:00,20:00:00
c3d8a930-ea7f-4e10-b9e5-a5c33e40ffd2,64,07:00:00,22:00:00
c3d8a930-ea7f-4e10-b9e5-a5c33e40ffd2,63,06:00:00,22:00:00
e6001058-dc8d-4a5a-a008-d111938d08c6,64,08:00:00,21:00:00
e6001058-dc8d-4a5a-a008-d111938d08c6,32,07:00:00,21:00:00
e6001058-dc8d-4a5a-a008-d111938d08c6,31,05:00:00,22:00:00
c40eefd2-1343-48f1-aafe-3e97f46222b0,192,08:00:00,22:00:00
c40eefd2-1343-48f1-aafe-3e97f46222b0,32,07:00:00,22:00:00
c40eefd2-1343-48f1-aafe-3e97f46222b0,31,05:00:00,22:00:00
e3847b06-6c52-4de2-a8ce-84d97ec13a4e,255,06:00:00,22:00:00
c4581e33-001e-4111-8bce-505cf7849bb0,64,09:00:00,19:00:00
c4581e33-001e-4111-8bce-505cf7849bb0,32,08:00:00,20:00:00
c4581e33-001e-4111-8bce-505cf7849bb0,31,07:00:00,20:30:00
44014c36-d54d-4ddc-8c88-85bec2e89c41,127,06:00:00,22:00:00
c4709e5b-e76b-4792-8632-7d9d71ed8c9d,64,10:00:00,19:00:00
c4709e5b-e76b-4792-8632-7d9d71ed8c9d,63,07:00:00,20:00:00
e0ac8644-0993-4566-af74-38548be7a5ff,127,05:30:00,22:00:00
c47304bf-eb83-4e04-b3d9-89fc02f936a6,96,07:00:00,21:00:00
c47304bf-eb83-4e04-b3d9-89fc02f936a6,31,05:00:00,22:00:00
dbc2d764-3330-400e-a0b6-b8ca113149e5,224,06:00:00,23:00:00
dbc2d764-3330-400e-a0b6-b8ca113149e5,31,05:00:00,23:00:00
01874ef0-edca-4c6c-bd97-48904980113c,96,07:30:00,21:00:00
01874ef0-edca-4c6c-bd97-48904980113c,31,06:00:00,21:00:00
d28fff98-f304-4baa-8b92-61f449e176dc,127,06:00:00,23:00:00
c483b0fc-7668-4135-bd88-5ddd9893716e,64,08:00:00,22:00:00
c483b0fc-7668-4135-bd88-5ddd9893716e,32,07:00:00,22:00:00
c483b0fc-7668-4135-bd88-5ddd9893716e,31,06:30:00,22:00:00
c4860990-56f0-4a66-91c7-2ec84ad7911c,96,08:00:00,21:00:00
c4860990-56f0-4a66-91c7-2ec84ad7911c,31,07:30:00,21:00:00
cf087c2a-eba5-4e7f-a2f1-9cea6c809b6a,64,07:00:00,22:00:00
cf087c2a-eba5-4e7f-a2f1-9cea6c809b6a,63,06:00:00,22:00:00
44162b68-baa3-4005-8148-0e49834c5053,255,00:00:00,23:59:59
c48bf149-7577-4ce4-b895-d5ee34d79866,224,07:00:00,21:00:00
c48bf149-7577-4ce4-b895-d5ee34d79866,31,05:00:00,21:00:00
c4b50bb5-ecbc-4df8-9c78-3590f775dc7d,64,10:00:00,21:00:00
c4b50bb5-ecbc-4df8-9c78-3590f775dc7d,63,07:00:00,21:00:00
c917cdc1-0e9e-408c-bfc0-cf520c586e2a,192,06:00:00,23:00:00
c917cdc1-0e9e-408c-bfc0-cf520c586e2a,63,05:00:00,23:00:00
018b5035-6d1d-47f7-bbcc-47cf4c7799c5,64,08:00:00,22:00:00
018b5035-6d1d-47f7-bbcc-47cf4c7799c5,32,07:00:00,22:00:00
018b5035-6d1d-47f7-bbcc-47cf4c7799c5,31,06:30:00,22:00:00
1b25d42b-65e8-4724-a801-6a921b273aa7,127,06:00:00,22:00:00
c4c745cb-ae16-46ee-ac8a-75b2cf0a8284,224,07:00:00,22:00:00
c4c745cb-ae16-46ee-ac8a-75b2cf0a8284,31,06:00:00,22:00:00
b6575711-f862-4639-9e6d-62eb5d567149,63,06:45:00,22:00:00
b4c7c820-7e62-4774-bf79-7dede47fb2ba,64,08:00:00,19:00:00
b4c7c820-7e62-4774-bf79-7dede47fb2ba,63,07:00:00,20:00:00
c4d86b5c-acb0-4515-acaf-884e43207a36,255,06:00:00,22:00:00
51d4b599-a095-1aa0-e100-80009459e03a,224,08:00:00,22:00:00
51d4b599-a095-1aa0-e100-80009459e03a,31,06:00:00,22:00:00
b1f2252f-7b55-4136-846f-ab0ef2cafee0,64,08:00:00,21:00:00
b1f2252f-7b55-4136-846f-ab0ef2cafee0,32,06:00:00,21:00:00
b1f2252f-7b55-4136-846f-ab0ef2cafee0,31,05:00:00,21:00:00
ba83d937-3cce-4f59-89b1-2b0134b66b46,224,07:00:00,22:00:00
ba83d937-3cce-4f59-89b1-2b0134b66b46,31,05:00:00,22:00:00
018e8f3e-ae2f-40bc-89c1-bc3fe20eb462,96,07:30:00,21:00:00
018e8f3e-ae2f-40bc-89c1-bc3fe20eb462,31,06:00:00,21:00:00
44463e0d-14b9-476e-9e00-8b1cb102f43f,64,08:00:00,23:00:00
44463e0d-14b9-476e-9e00-8b1cb102f43f,32,06:00:00,23:00:00
44463e0d-14b9-476e-9e00-8b1cb102f43f,31,05:00:00,23:00:00
c4f8ef2e-8f38-4c08-bf18-fa09e4fbb687,32,09:00:00,15:00:00
c4f8ef2e-8f38-4c08-bf18-fa09e4fbb687,31,07:30:00,18:30:00
c5079fde-b790-473c-8f03-63936644ff1e,224,08:00:00,22:00:00
c5079fde-b790-473c-8f03-63936644ff1e,31,06:00:00,22:00:00
01913456-d774-49ee-a5d2-52371850d31e,192,08:00:00,21:00:00
01913456-d774-49ee-a5d2-52371850d31e,32,07:00:00,21:00:00
01913456-d774-49ee-a5d2-52371850d31e,31,06:00:00,21:00:00
09c3e387-1b81-4c37-8b4b-a8dc01a38ca2,96,05:00:00,23:00:00
09c3e387-1b81-4c37-8b4b-a8dc01a38ca2,31,04:00:00,23:00:00
c50bdb16-49e8-4e9a-bf1c-ae44f562dd5e,96,07:00:00,22:00:00
c50bdb16-49e8-4e9a-bf1c-ae44f562dd5e,31,06:00:00,22:00:00
9230dafb-a009-4a8f-bdda-b95a040923c1,224,08:00:00,21:00:00
9230dafb-a009-4a8f-bdda-b95a040923c1,31,06:00:00,21:00:00
8f46fb17-b3f2-47ee-a2bd-867be562f156,192,07:00:00,22:00:00
8f46fb17-b3f2-47ee-a2bd-867be562f156,32,06:00:00,23:00:00
8f46fb17-b3f2-47ee-a2bd-867be562f156,31,06:00:00,22:00:00
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,64,06:00:00,23:00:00
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,32,06:00:00,23:59:59
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,16,05:00:00,23:59:59
c5335c8c-843a-48aa-a7fb-8bc4fc379ded,15,05:00:00,23:00:00
c5352a66-03f6-4cb6-887a-72a86f310f09,192,08:00:00,22:00:00
c5352a66-03f6-4cb6-887a-72a86f310f09,32,07:00:00,22:00:00
